dataset,null_abs_r
Reid CV1,0.10908442429545571
Reid CV1,0.06212837211815165
Reid CV1,0.020012976159668853
Reid CV1,0.019293994177317805
Reid CV1,0.044631130609367964
Reid CV1,0.12283860865246315
Reid CV1,0.26311686938250356
Reid CV1,0.010178238194379493
Reid CV1,0.06615249028289426
Reid CV1,0.18047142103914246
Reid CV1,0.04801321084132609
Reid CV1,0.00581188040879877
Reid CV1,0.2609398946357788
Reid CV1,0.04341329530448533
Reid CV1,0.0025425298624309643
Reid CV1,0.17682657054518852
Reid CV1,0.1745610105706957
Reid CV1,0.06513536442330853
Reid CV1,0.013647885659459768
Reid CV1,0.21625175934281948
Reid CV1,0.043128773363442716
Reid CV1,0.050029084138574285
Reid CV1,0.13208636445498032
Reid CV1,0.1431115749271311
Reid CV1,0.15191924227058992
Reid CV1,0.045285788948693256
Reid CV1,0.09087697595642276
Reid CV1,0.008507085430615013
Reid CV1,0.14416892378284515
Reid CV1,0.10550691593124693
Reid CV1,0.16200475502355446
Reid CV1,0.21657741161660987
Reid CV1,0.08782594450515321
Reid CV1,0.029227989819602285
Reid CV1,0.015002449668200819
Reid CV1,0.09288039447835794
Reid CV1,0.051846099164159595
Reid CV1,0.1377574689441261
Reid CV1,0.005942376533518835
Reid CV1,0.06970923191485145
Reid CV1,0.196887589706349
Reid CV1,0.05801362878215249
Reid CV1,0.2634578620607211
Reid CV1,0.040024828802691655
Reid CV1,0.05791852912556162
Reid CV1,0.07306624545691974
Reid CV1,0.10712367035675362
Reid CV1,0.1339147105754288
Reid CV1,0.07623190587762464
Reid CV1,0.26743662090763654
Reid CV1,0.02112160132228192
Reid CV1,0.1061456470377613
Reid CV1,0.1067779198057579
Reid CV1,0.11235903903259847
Reid CV1,0.006690884662198891
Reid CV1,0.16514461427832508
Reid CV1,0.11245348093772282
Reid CV1,0.0696200686057537
Reid CV1,0.17183647718176817
Reid CV1,0.005147627594919187
Reid CV1,0.10775042159756038
Reid CV1,0.17555622001222218
Reid CV1,0.20688212989924318
Reid CV1,0.11459238385303872
Reid CV1,0.19190376791992722
Reid CV1,0.0033454601729860423
Reid CV1,0.005027880610058288
Reid CV1,0.01914797321498886
Reid CV1,0.02847765938304422
Reid CV1,0.009594924209476214
Reid CV1,0.07578937902970095
Reid CV1,0.13766932216427538
Reid CV1,0.14454625360761847
Reid CV1,0.00858224976009835
Reid CV1,0.0847004035416685
Reid CV1,0.12132116534452854
Reid CV1,0.020711436892028166
Reid CV1,0.07539165855614206
Reid CV1,0.00434221098208826
Reid CV1,0.0066442375989573975
Reid CV1,0.055693945455108196
Reid CV1,0.17257873774926138
Reid CV1,0.05273495955435594
Reid CV1,0.025044463231238157
Reid CV1,0.03478553469148292
Reid CV1,0.10111026509022525
Reid CV1,0.07452306957208465
Reid CV1,0.04415585380362749
Reid CV1,0.24264401295548574
Reid CV1,0.08618069783870251
Reid CV1,0.034705883647632725
Reid CV1,0.17117676695843181
Reid CV1,0.07752506870473493
Reid CV1,0.10113836139009989
Reid CV1,0.0648418092219206
Reid CV1,0.07298591317141062
Reid CV1,0.14825065585717964
Reid CV1,0.20144833741261486
Reid CV1,0.012682296149765893
Reid CV1,0.11110700759338979
Reid CV1,0.06930068690239725
Reid CV1,0.13874907573814171
Reid CV1,0.21858180106098266
Reid CV1,0.054063791590431315
Reid CV1,0.08020002961030369
Reid CV1,0.1619857744705265
Reid CV1,0.1302534548704443
Reid CV1,0.12985245160042005
